pomId,groupId,artifactId,scope,
commons-logging:commons-logging:jar:1.1.3,junit,junit,test,
commons-logging:commons-logging:jar:1.1.3,log4j,log4j,null,
commons-logging:commons-logging:jar:1.1.3,logkit,logkit,null,
commons-logging:commons-logging:jar:1.1.3,avalon-framework,avalon-framework,null,
commons-logging:commons-logging:jar:1.1.3,javax.servlet,servlet-api,provided,
[inherited]:httpcore:jar:[inherited],junit,junit,test,
[inherited]:httpcore:jar:[inherited],org.mockito,mockito-core,test,
[inherited]:httpcore:jar:[inherited],commons-logging,commons-logging,test,
org.apache.commons:commons-vfs2:jar:2.0,commons-logging,commons-logging,null,
org.apache.commons:commons-vfs2:jar:2.0,ant,ant,null,
org.apache.commons:commons-vfs2:jar:2.0,commons-net,commons-net,null,
org.apache.commons:commons-vfs2:jar:2.0,org.apache.commons,commons-compress,test,
org.apache.commons:commons-vfs2:jar:2.0,commons-collections,commons-collections,null,
org.apache.commons:commons-vfs2:jar:2.0,commons-httpclient,commons-httpclient,null,
org.apache.commons:commons-vfs2:jar:2.0,org.apache.jackrabbit,jackrabbit-webdav,null,
org.apache.commons:commons-vfs2:jar:2.0,com.jcraft,jsch,null,
org.apache.commons:commons-vfs2:jar:2.0,junit,junit,test,
commons-el:commons-el:jar:1.0,servletapi,servletapi,provided,
commons-el:commons-el:jar:1.0,jspapi,jsp-api,provided,
commons-el:commons-el:jar:1.0,commons-logging,commons-logging,null,
org.slf4j:log4j-over-slf4j:jar:[inherited],org.slf4j,slf4j-api,null,
org.slf4j:log4j-over-slf4j:jar:[inherited],org.slf4j,slf4j-jdk14,test,
[inherited]:guice:jar:[inherited],javax.inject,javax.inject,null,
[inherited]:guice:jar:[inherited],aopalliance,aopalliance,null,
[inherited]:guice:jar:[inherited],org.sonatype.sisu.inject,cglib,null,
[inherited]:guice:jar:[inherited],javax.inject,javax.inject-tck,test,
[inherited]:guice:jar:[inherited],org.springframework,spring-beans,test,
[inherited]:guice:jar:[inherited],biz.aQute,bnd,test,
[inherited]:guice:jar:[inherited],org.apache.felix,org.apache.felix.framework,test,
commons-codec:commons-codec:jar:1.7,junit,junit,test,
[inherited]:api-asn1-api:bundle:[inherited],org.apache.directory.junit,junit-addons,test,
[inherited]:api-asn1-api:bundle:[inherited],${project.groupId},api-i18n,null,
xalan:xalan:jar:2.7.1,xalan,serializer,null,
xalan:xalan:jar:2.7.1,xerces,xercesImpl,null,
org.springframework:spring-aop:jar:4.1.5.RELEASE,aopalliance,aopalliance,compile,
org.springframework:spring-aop:jar:4.1.5.RELEASE,com.jamonapi,jamon,compile,
org.springframework:spring-aop:jar:4.1.5.RELEASE,commons-pool,commons-pool,compile,
org.springframework:spring-aop:jar:4.1.5.RELEASE,org.aspectj,aspectjweaver,compile,
org.springframework:spring-aop:jar:4.1.5.RELEASE,org.springframework,spring-beans,compile,
org.springframework:spring-aop:jar:4.1.5.RELEASE,org.springframework,spring-core,compile,
[inherited]:doxia-core:jar:[inherited],org.apache.maven.doxia,doxia-sink-api,null,
[inherited]:doxia-core:jar:[inherited],org.codehaus.plexus,plexus-utils,null,
[inherited]:doxia-core:jar:[inherited],org.codehaus.plexus,plexus-container-default,null,
[inherited]:maven-common-artifact-filters:jar:1.2,org.apache.maven,maven-artifact,null,
[inherited]:maven-common-artifact-filters:jar:1.2,org.apache.maven,maven-model,null,
