id,modelVersion,parent,groupId,artifactId,version,name,url,releaseDate,organization,dependenciesAmount,repositoriesAmount,mavenErrorMessage,
mmons-logging:jar:1.1.3,4.0.0,org.apache.commons:commons-parent:pom:28,commons-logging,commons-logging,1.1.3,Commons Logging,http://commons.apache.org/proper/commons-logging/,45343-06-24 01:10:00 UTC,,5,0,
[inherited]:httpcore:jar:[inherited],4.0.0,org.apache.httpcomponents:httpcomponents-core:pom:4.3.2,null,httpcore,null,Apache HttpCore,http://hc.apache.org/httpcomponents-core-ga,46088-04-04 23:00:00 UTC,,3,0,
org.apache.commons:commons-vfs2:jar:2.0,4.0.0,org.apache.commons:commons-vfs2-project:pom:2.0,org.apache.commons,commons-vfs2,2.0,Commons VFS Core,null,43598-09-26 17:10:00 UTC,,9,0,
commons-el:commons-el:jar:1.0,4.0.0,,commons-el,commons-el,1.0,EL,http://jakarta.apache.org/commons/el/,37863-04-18 11:50:00 UTC,The Apache Software Foundation,3,0,
org.scala-lang:scala-library:jar:2.11.4,4.0.0,,org.scala-lang,scala-library,2.11.4,Scala Library,http://www.scala-lang.org/,46780-05-13 04:00:00 UTC,LAMP/EPFL,0,0,
org.slf4j:log4j-over-slf4j:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.6.1,org.slf4j,log4j-over-slf4j,null,Log4j Implemented Over SLF4J,http://www.slf4j.org,42479-09-03 15:40:00 UTC,,2,0,
[inherited]:guice:jar:[inherited],4.0.0,com.google.inject:guice-parent:pom:3.0,null,guice,null,Google Guice - Core Library,null,43199-06-30 17:10:00 UTC,,7,0,
commons-codec:commons-codec:jar:1.7,4.0.0,org.apache.commons:commons-parent:pom:26,commons-codec,commons-codec,1.7,Commons Codec,http://commons.apache.org/codec/,44666-04-26 21:13:20 UTC,,1,0,
[inherited]:api-asn1-api:bundle:[inherited],4.0.0,org.apache.directory.api:api-asn1-parent:pom:1.0.0-M20,null,api-asn1-api,null,Apache Directory API ASN.1 API,null,45588-07-26 01:46:40 UTC,,2,0,
javax.activation:activation:jar:1.1,4.0.0,,javax.activation,activation,1.1,JavaBeans Activation Framework (JAF),http://java.sun.com/products/javabeans/jaf/index.jsp,38304-09-09 12:50:00 UTC,,0,0,
xalan:xalan:jar:2.7.1,4.0.0,org.apache:apache:pom:4,xalan,xalan,2.7.1,Xalan Java,http://xml.apache.org/xalan-j/,40717-10-12 08:20:00 UTC,,2,0,
org.springframework:spring-aop:jar:4.1.5.RELEASE,4.0.0,,org.springframework,spring-aop,4.1.5.RELEASE,Spring AOP,https://github.com/spring-projects/spring-framework,47108-07-11 00:03:20 UTC,Spring IO,6,0,
xml-apis:xml-apis:jar:1.0.b2,4.0.0,,xml-apis,xml-apis,1.0.b2,XML Commons External Components XML APIs,http://xml.apache.org/commons/#external,37863-05-01 21:13:20 UTC,Apache Software Foundation,0,0,
[inherited]:doxia-core:jar:[inherited],4.0.0,org.apache.maven.doxia:doxia:pom:1.0,null,doxia-core,null,Doxia :: Core,null,41102-12-03 10:50:00 UTC,,3,0,
[inherited]:maven-common-artifact-filters:jar:1.2,4.0.0,org.apache.maven.shared:maven-shared-components:pom:11,null,maven-common-artifact-filters,1.2,Maven Common Artifact Filters,null,41594-07-10 05:23:20 UTC,,10,0,
commons-io:commons-io:jar:2.4,4.0.0,org.apache.commons:commons-parent:pom:25,commons-io,commons-io,2.4,Commons IO,http://commons.apache.org/io/,44418-04-28 23:30:00 UTC,,1,0,
[inherited]:doxia-module-xdoc:jar:[inherited],4.0.0,org.apache.maven.doxia:doxia-modules:pom:1.0,null,doxia-module-xdoc,null,Doxia :: XDoc Module,null,41102-12-03 11:23:20 UTC,,1,0,
org.slf4j:jcl-over-slf4j:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.6.1,org.slf4j,jcl-over-slf4j,null,JCL 1.1.1 implemented over SLF4J,http://www.slf4j.org,42479-09-03 13:10:00 UTC,,2,0,
[inherited]:plexus-velocity:jar:1.1.7,4.0.0,org.codehaus.plexus:plexus-components:pom:1.1.12,null,plexus-velocity,1.1.7,Plexus Velocity Component,null,39640-02-16 21:16:40 UTC,,3,0,
[inherited]:logback-classic:jar:[inherited],4.0.0,ch.qos.logback:logback-parent:pom:1.1.2,null,logback-classic,null,Logback Classic Module,http://logback.qos.ch,46222-04-21 06:33:20 UTC,,21,0,
commons-io:commons-io:jar:2.1,4.0.0,org.apache.commons:commons-parent:pom:22,commons-io,commons-io,2.1,Commons IO,http://commons.apache.org/io/,43725-07-16 15:20:00 UTC,,1,0,
